"","epoch_grp","chr","pos","end","LOD","lod_thresh"
"1","1","chr1",3010274,3010274,0.678464426038447,3.5717710113988
"2","1","chr1",3492195,3492195,0.67846442603845,3.5717710113988
"3","1","chr1",3511204,3511204,0.678464426038456,3.5717710113988
"4","1","chr1",3659804,3659804,0.678464426038456,3.5717710113988
"5","1","chr1",3777023,3777023,0.678464426038447,3.5717710113988
"6","1","chr1",3812265,3812265,0.678464426038447,3.5717710113988
"7","1","chr1",4430623,4430623,0.678464426038456,3.5717710113988
"8","1","chr1",4446737,4446737,0.678464426038456,3.5717710113988
"9","1","chr1",4518714,4518714,0.678464426038456,3.5717710113988
"10","1","chr1",4776317,4776317,0.678464426038456,3.5717710113988
"11","1","chr1",4820983,4820983,0.678464426038465,3.5717710113988
"12","1","chr1",4847112,4847112,0.678464426038444,3.5717710113988
"13","1","chr1",4878056,4878056,0.678464426038453,3.5717710113988
"14","1","chr1",5018010,5018010,0.678464426038469,3.5717710113988
"15","1","chr1",5025197,5025197,0.678464426038444,3.5717710113988
"16","1","chr1",5028801,5028801,0.678464426038444,3.5717710113988
"17","1","chr1",5119671,5119671,0.678464425824743,3.5717710113988
"18","1","chr1",5155818,5155818,0.678464425824743,3.5717710113988
"19","1","chr1",5185979,5185979,0.640421719901452,3.5717710113988
"20","1","chr1",5316776,5316776,0.640421285984123,3.5717710113988
"21","1","chr1",5641533,5641533,0.474312830629036,3.5717710113988
"22","1","chr1",6097778,6097778,0.474312830629027,3.5717710113988
"23","1","chr1",6357478,6357478,0.474312829613599,3.5717710113988
"24","1","chr1",6747440,6747440,0.474312829613498,3.5717710113988
"25","1","chr1",6830161,6830161,0.474312829613498,3.5717710113988
"26","1","chr1",9843988,9843988,0.474312829613498,3.5717710113988
"27","1","chr1",10098253,10098253,0.474312829613498,3.5717710113988
"28","1","chr1",10162992,10162992,0.474312829613488,3.5717710113988
"29","1","chr1",10809088,10809088,0.474312829613488,3.5717710113988
"30","1","chr1",11083825,11083825,0.474312829613487,3.5717710113988
"31","1","chr1",11416077,11416077,0.474312829613487,3.5717710113988
"32","1","chr1",11515687,11515687,0.474312829613487,3.5717710113988
"33","1","chr1",11793253,11793253,0.474312829612529,3.5717710113988
"34","1","chr1",12740981,12740981,0.47431282961253,3.5717710113988
"35","1","chr1",12938444,12938444,0.474118778459986,3.5717710113988
"36","1","chr1",12994801,12994801,0.474072555588822,3.5717710113988
"37","1","chr1",13055719,13055719,0.279888129694502,3.5717710113988
"38","1","chr1",13073341,13073341,0.279880250478465,3.5717710113988
"39","1","chr1",13842623,13842623,0.279880250478465,3.5717710113988
"40","1","chr1",13855369,13855369,0.218086891653066,3.5717710113988
"41","1","chr1",13860415,13860415,0.218077125471276,3.5717710113988
"42","1","chr1",13890559,13890559,0.218077124494573,3.5717710113988
"43","1","chr1",14567972,14567972,0.218077124494573,3.5717710113988
"44","1","chr1",14576853,14576853,0.218077124494573,3.5717710113988
"45","1","chr1",14748117,14748117,0.218077124494573,3.5717710113988
"46","1","chr1",14753392,14753392,0.21807712380319,3.5717710113988
"47","1","chr1",14763878,14763878,0.218077123803196,3.5717710113988
"48","1","chr1",14797138,14797138,0.218077124494573,3.5717710113988
"49","1","chr1",14909034,14909034,0.218077124494573,3.5717710113988
"50","1","chr1",15206803,15206803,0.218077126678702,3.5717710113988
"51","1","chr1",15409882,15409882,0.218077126678722,3.5717710113988
"52","1","chr1",15508184,15508184,0.438893775901933,3.5717710113988
"53","1","chr1",15817404,15817404,0.43889377590193,3.5717710113988
"54","1","chr1",15981339,15981339,0.177798700061347,3.5717710113988
"55","1","chr1",16106636,16106636,0.177685165098472,3.5717710113988
"56","1","chr1",16724263,16724263,0.177685164996701,3.5717710113988
"57","1","chr1",17255046,17255046,0.17768414739006,3.5717710113988
"58","1","chr1",17259053,17259053,0.0546329429321817,3.5717710113988
"59","1","chr1",17395985,17395985,0.0546329429321756,3.5717710113988
"60","1","chr1",18168753,18168753,0.0546329413010365,3.5717710113988
"61","1","chr1",18496617,18496617,0.0546340274276152,3.5717710113988
"62","1","chr1",18605609,18605609,0.0546329410828855,3.5717710113988
"63","1","chr1",18790547,18790547,0.0546329410828855,3.5717710113988
"64","1","chr1",18823698,18823698,0.0546329395943018,3.5717710113988
"65","1","chr1",18872023,18872023,0.054632939594291,3.5717710113988
"66","1","chr1",20623542,20623542,0.0116669791684697,3.5717710113988
"67","1","chr1",20633818,20633818,0.0116741343144748,3.5717710113988
"68","1","chr1",20642132,20642132,0.0116741343144717,3.5717710113988
"69","1","chr1",20775218,20775218,0.015190966109953,3.5717710113988
"70","1","chr1",20784227,20784227,0.0151965389069396,3.5717710113988
"71","1","chr1",21591279,21591279,0.0151965389069442,3.5717710113988
"72","1","chr1",21638464,21638464,0.0779075163969246,3.5717710113988
"73","1","chr1",21640961,21640961,0.0778992675554842,3.5717710113988
"74","1","chr1",22062131,22062131,0.0779212888176299,3.5717710113988
"75","1","chr1",22104486,22104486,0.195003337930291,3.5717710113988
"76","1","chr1",22104600,22104600,0.195005943584421,3.5717710113988
"77","1","chr1",22168405,22168405,0.195005943844979,3.5717710113988
"78","1","chr1",22400540,22400540,0.195005943845017,3.5717710113988
"79","1","chr1",23145049,23145049,0.195005943845013,3.5717710113988
"80","1","chr1",23152100,23152100,0.19500594384501,3.5717710113988
"81","1","chr1",23379426,23379426,0.19500594384501,3.5717710113988
"82","1","chr1",23495995,23495995,0.195005943845017,3.5717710113988
"83","1","chr1",23576777,23576777,0.19500594384501,3.5717710113988
"84","1","chr1",23815235,23815235,0.195005943845008,3.5717710113988
"85","1","chr1",23996126,23996126,0.19500594384501,3.5717710113988
"86","1","chr1",24109329,24109329,0.19500594384501,3.5717710113988
"87","1","chr1",25237332,25237332,0.195005943845439,3.5717710113988
"88","1","chr1",25298573,25298573,0.195005956745741,3.5717710113988
"89","1","chr1",25351001,25351001,0.195048630388188,3.5717710113988
"90","1","chr1",25432521,25432521,0.816908960145429,3.5717710113988
"91","1","chr1",25575438,25575438,0.559481115520037,3.5717710113988
"92","1","chr1",25700998,25700998,0.559444329855387,3.5717710113988
"93","1","chr1",25827733,25827733,0.559444326973026,3.5717710113988
"94","1","chr1",26858757,26858757,0.559444326973011,3.5717710113988
"95","1","chr1",27253420,27253420,0.285680139074371,3.5717710113988
"96","1","chr1",27306300,27306300,0.285624539526259,3.5717710113988
"97","1","chr1",28502227,28502227,0.285624539526262,3.5717710113988
"98","1","chr1",28761550,28761550,0.285624541939459,3.5717710113988
"99","1","chr1",29076562,29076562,0.285624541939477,3.5717710113988
"100","1","chr1",29088485,29088485,0.491297330002003,3.5717710113988
"101","1","chr1",29155851,29155851,0.491309514693436,3.5717710113988
"102","1","chr1",30126538,30126538,0.491309514693436,3.5717710113988
"103","1","chr1",30701800,30701800,0.491309514693559,3.5717710113988
"104","1","chr1",30813482,30813482,0.491309514693559,3.5717710113988
"105","1","chr1",30851224,30851224,0.491309514693559,3.5717710113988
"106","1","chr1",31062737,31062737,0.491309514693559,3.5717710113988
"107","1","chr1",31659464,31659464,0.491309514693365,3.5717710113988
"108","1","chr1",32082234,32082234,0.491309511875353,3.5717710113988
"109","1","chr1",32159237,32159237,0.491309511446971,3.5717710113988
"110","1","chr1",32343834,32343834,0.00358235335972686,3.5717710113988
"111","1","chr1",32498420,32498420,0.00358235335972531,3.5717710113988
"112","1","chr1",33368251,33368251,0.00358235327074643,3.5717710113988
"113","1","chr1",33721638,33721638,0.00358235332894244,3.5717710113988
"114","1","chr1",34162961,34162961,0.00358235332894244,3.5717710113988
"115","1","chr1",34536447,34536447,0.00358235327073409,3.5717710113988
"116","1","chr1",34552517,34552517,0.00358235327073409,3.5717710113988
"117","1","chr1",34951753,34951753,0.00358235327073409,3.5717710113988
"118","1","chr1",35190338,35190338,0.00358235327073409,3.5717710113988
"119","1","chr1",35538546,35538546,0.00358235327073409,3.5717710113988
"120","1","chr1",35723979,35723979,0.00358235327073409,3.5717710113988
"121","1","chr1",35935430,35935430,0.003582353270731,3.5717710113988
"122","1","chr1",35995739,35995739,0.00358235327073409,3.5717710113988
"123","1","chr1",37557939,37557939,0.00358235327073409,3.5717710113988
"124","1","chr1",37632490,37632490,0.00358235327076032,3.5717710113988
"125","1","chr1",37639250,37639250,0.00358235458339207,3.5717710113988
"126","1","chr1",37670630,37670630,0.0035823545833967,3.5717710113988
"127","1","chr1",37685650,37685650,0.0754945255356031,3.5717710113988
"128","1","chr1",37710746,37710746,0.0755048310309151,3.5717710113988
"129","1","chr1",37820001,37820001,0.0755048310309151,3.5717710113988
"130","1","chr1",37893993,37893993,0.0755048310310709,3.5717710113988
"131","1","chr1",38128287,38128287,0.0755048315509314,3.5717710113988
"132","1","chr1",38225635,38225635,0.0755152643500346,3.5717710113988
"133","1","chr1",38394703,38394703,0.0755048320742897,3.5717710113988
"134","1","chr1",38477112,38477112,0.0755048310310216,3.5717710113988
"135","1","chr1",39016071,39016071,0.0755048310310216,3.5717710113988
"136","1","chr1",39020746,39020746,0.07550483103102,3.5717710113988
"137","1","chr1",39140420,39140420,0.07550483103102,3.5717710113988
"138","1","chr1",39141201,39141201,0.07550483103102,3.5717710113988
"139","1","chr1",39232378,39232378,0.0755048310310216,3.5717710113988
"140","1","chr1",39261548,39261548,0.0755048310310216,3.5717710113988
"141","1","chr1",39262262,39262262,0.07550483103102,3.5717710113988
"142","1","chr1",39521927,39521927,0.0755048310310216,3.5717710113988
"143","1","chr1",40866894,40866894,0.0755048310313595,3.5717710113988
"144","1","chr1",40874692,40874692,0.0755048344408202,3.5717710113988
"145","1","chr1",40931804,40931804,0.0755048344408125,3.5717710113988
"146","1","chr1",41290131,41290131,0.0755048310311018,3.5717710113988
"147","1","chr1",41584822,41584822,0.0755048310310216,3.5717710113988
"148","1","chr1",41612357,41612357,0.0755048310310216,3.5717710113988
"149","1","chr1",41796848,41796848,0.0755048310310216,3.5717710113988
"150","1","chr1",42096274,42096274,0.07550483103102,3.5717710113988
"151","1","chr1",42097815,42097815,0.07550483103102,3.5717710113988
"152","1","chr1",42135288,42135288,0.07550483103102,3.5717710113988
"153","1","chr1",42159678,42159678,0.075504831031091,3.5717710113988
"154","1","chr1",42247552,42247552,0.0755048317402543,3.5717710113988
"155","1","chr1",42248208,42248208,0.0755119230520411,3.5717710113988
"156","1","chr1",43215598,43215598,1.08298435489087,3.5717710113988
"157","1","chr1",43300011,43300011,1.08298435489089,3.5717710113988
"158","1","chr1",43444338,43444338,1.08298435820185,3.5717710113988
"159","1","chr1",43487116,43487116,1.08298435820185,3.5717710113988
"160","1","chr1",43564847,43564847,1.08290119738339,3.5717710113988
"161","1","chr1",43609717,43609717,0.6700183014917,3.5717710113988
"162","1","chr1",43685749,43685749,0.670015210848094,3.5717710113988
"163","1","chr1",43686349,43686349,0.330428965301202,3.5717710113988
"164","1","chr1",43686478,43686478,0.330401135159639,3.5717710113988
"165","1","chr1",43736497,43736497,0.330427801220344,3.5717710113988
"166","1","chr1",43826691,43826691,0.330427801009908,3.5717710113988
"167","1","chr1",44061378,44061378,0.330401128243495,3.5717710113988
"168","1","chr1",44067814,44067814,0.330401128243495,3.5717710113988
"169","1","chr1",44180897,44180897,0.330401125084105,3.5717710113988
"170","1","chr1",44465508,44465508,0.33040112508408,3.5717710113988
"171","1","chr1",45598788,45598788,0.0696422554114502,3.5717710113988
"172","1","chr1",45915046,45915046,0.0696256345182696,3.5717710113988
"173","1","chr1",46847534,46847534,0.0696256345182696,3.5717710113988
"174","1","chr1",46868702,46868702,0.0696256345180999,3.5717710113988
"175","1","chr1",46868827,46868827,0.0696256345181045,3.5717710113988
"176","1","chr1",46896797,46896797,0.0696256345180999,3.5717710113988
"177","1","chr1",46908195,46908195,0.069625634518103,3.5717710113988
"178","1","chr1",46926036,46926036,0.069625634518103,3.5717710113988
"179","1","chr1",47189877,47189877,0.0696256345180999,3.5717710113988
"180","1","chr1",47204083,47204083,0.069625634518103,3.5717710113988
"181","1","chr1",47204173,47204173,0.069625634518103,3.5717710113988
"182","1","chr1",50870469,50870469,0.069625634518103,3.5717710113988
"183","1","chr1",51226345,51226345,0.0696256345181045,3.5717710113988
"184","1","chr1",51381520,51381520,0.0696256345181076,3.5717710113988
"185","1","chr1",51967970,51967970,0.0696256437721998,3.5717710113988
"186","1","chr1",53011522,53011522,0.0696256437722137,3.5717710113988
"187","1","chr1",54091003,54091003,0.336140302685228,3.5717710113988
"188","1","chr1",54173819,54173819,0.336231435051242,3.5717710113988
"189","1","chr1",54198326,54198326,0.336231435051242,3.5717710113988
"190","1","chr1",54310319,54310319,0.336231434481264,3.5717710113988
"191","1","chr1",54475307,54475307,0.336231434481258,3.5717710113988
"192","1","chr1",55127480,55127480,0.0799662330249203,3.5717710113988
"193","1","chr1",57596351,57596351,0.0799589686514394,3.5717710113988
"194","1","chr1",57825372,57825372,0.0799589682896113,3.5717710113988
"195","1","chr1",58115651,58115651,0.0799589682895033,3.5717710113988
"196","1","chr1",58141073,58141073,0.0799589682895033,3.5717710113988
"197","1","chr1",58184930,58184930,0.0799589682895033,3.5717710113988
"198","1","chr1",58376427,58376427,0.0799589682895033,3.5717710113988
"199","1","chr1",58402372,58402372,0.0799589682895033,3.5717710113988
"200","1","chr1",58586827,58586827,0.0799589682895157,3.5717710113988
"201","1","chr1",59076759,59076759,0.0799589684062224,3.5717710113988
"202","1","chr1",59379132,59379132,0.0799636920167953,3.5717710113988
"203","1","chr1",60644129,60644129,0.103036224336903,3.5717710113988
"204","1","chr1",61386948,61386948,0.10303946811998,3.5717710113988
"205","1","chr1",62609193,62609193,0.221501204190404,3.5717710113988
"206","1","chr1",62725845,62725845,0.221501204190407,3.5717710113988
"207","1","chr1",62784088,62784088,0.221501204303628,3.5717710113988
"208","1","chr1",63144761,63144761,0.221501204303697,3.5717710113988
"209","1","chr1",63579559,63579559,0.221501204303697,3.5717710113988
"210","1","chr1",63884545,63884545,0.221501204303697,3.5717710113988
"211","1","chr1",64201441,64201441,0.221501204303697,3.5717710113988
"212","1","chr1",64650709,64650709,0.221501204303697,3.5717710113988
"213","1","chr1",65163550,65163550,0.221501204303697,3.5717710113988
"214","1","chr1",65168224,65168224,0.221501204303694,3.5717710113988
"215","1","chr1",65219730,65219730,0.22150120430371,3.5717710113988
"216","1","chr1",65504911,65504911,0.221501204303708,3.5717710113988
"217","1","chr1",66158651,66158651,0.22150120430371,3.5717710113988
"218","1","chr1",66197457,66197457,0.202599167177291,3.5717710113988
"219","1","chr1",66201739,66201739,0.202599167177291,3.5717710113988
