chrom	pos	end	het	hom	nocall	n_unq_gt_w_het	n_unq_gt_wo_het
chr11	3115395	3115446	19	48	87	6	1
chr11	3115983	3116000	130	3	21	2	1
chr11	3118690	3118701	0	18	136	1	1
chr11	3119499	3119513	1	66	87	2	1
chr11	3120827	3120842	0	42	112	1	1
chr11	3120847	3120861	0	25	129	1	1
chr11	3124550	3124565	0	27	127	1	1
chr11	3124701	3124712	0	80	74	1	1
chr11	3125390	3125404	0	75	79	1	1
chr11	3131928	3131942	0	80	74	1	1
chr11	3135566	3135625	2	36	116	2	1
chr11	3138172	3138247	1	1	152	2	1
chr11	3138877	3138891	0	139	15	1	1
chr11	3139061	3139072	0	142	12	1	1
chr11	3143190	3143201	0	146	8	1	1
chr11	3144136	3144147	0	116	38	1	1
chr11	3146588	3146599	0	154	0	1	1
chr11	3146717	3146728	9	91	54	5	1
chr11	3146908	3146931	2	117	35	3	1
chr11	3147215	3147230	0	50	104	1	1
chr11	3147576	3147587	0	108	46	1	1
chr11	3148160	3148171	0	133	21	1	1
chr11	3148781	3148800	14	16	124	5	1
chr11	3150538	3150555	1	111	42	2	1
chr11	3150571	3150582	0	124	30	1	1
chr11	3151174	3151203	5	86	63	3	1
chr11	3152334	3152345	0	89	65	1	1
chr11	3154369	3154380	0	150	4	1	1
chr11	3160760	3160771	0	123	31	1	1
chr11	3163433	3163444	0	148	6	1	1
chr11	3165140	3165151	0	151	3	1	1
chr11	3165190	3165201	39	24	91	6	1
chr11	3168453	3168472	4	135	15	2	1
chr11	3168532	3168571	12	14	128	5	1
chr11	3169322	3169337	0	79	75	1	1
chr11	3172052	3172063	0	154	0	1	1
chr11	3172720	3172735	0	154	0	1	1
chr11	3172797	3172808	0	154	0	1	1
chr11	3173084	3173098	0	154	0	1	1
chr11	3176366	3176377	6	136	12	3	1
chr11	3180185	3180244	0	37	117	1	1
chr11	3180412	3180444	0	121	33	1	1
chr11	3180556	3180611	21	15	118	4	1
chr11	3180647	3180678	1	109	44	2	1
chr11	3180680	3180703	3	117	34	4	1
chr11	3181646	3181665	0	86	68	1	1
chr11	3183235	3183248	1	29	124	2	1
chr11	3183695	3183706	0	8	146	1	1
chr11	3201755	3201766	0	93	61	1	1
chr11	3206977	3206991	0	138	16	1	1
chr11	3207752	3207763	0	125	29	1	1
chr11	3208785	3208814	6	72	76	3	1
chr11	3209544	3209555	0	131	23	1	1
chr11	3210995	3211010	0	149	5	1	1
chr11	3211012	3211031	0	150	4	1	1
chr11	3213983	3213994	0	92	62	1	1
chr11	3214189	3214200	0	137	17	1	1
chr11	3215274	3215288	0	78	76	1	1
chr11	3217489	3217502	1	65	88	2	1
chr11	3220583	3220594	0	113	41	1	1
chr11	3221686	3221701	0	110	44	1	1
chr11	3221878	3221921	5	70	79	7	4
chr11	3223730	3223741	0	136	18	1	1
chr11	3224303	3224314	0	121	33	1	1
chr11	3224319	3224330	0	111	43	1	1
chr11	3225321	3225340	0	131	23	1	1
chr11	3225897	3225908	0	128	26	1	1
chr11	3226241	3226252	0	142	12	1	1
chr11	3230827	3230846	0	128	26	1	1
chr11	3237696	3237747	11	13	130	6	1
chr11	3238015	3238026	0	144	10	1	1
chr11	3241387	3241398	0	150	4	1	1
chr11	3247188	3247205	0	153	1	1	1
chr11	3248442	3248453	0	94	60	1	1
chr11	3249271	3249288	0	142	12	1	1
chr11	3249331	3249352	7	64	83	4	1
chr11	3251837	3251884	7	85	62	4	1
chr11	3253461	3253472	0	93	61	1	1
chr11	3254303	3254314	0	99	55	1	1
chr11	3254788	3254827	13	86	55	2	1
chr11	3259908	3259919	0	124	30	1	1
chr11	3261028	3261039	0	123	31	1	1
chr11	3263527	3263546	0	150	4	1	1
chr11	3265560	3265571	1	143	10	2	1
chr11	3269890	3269901	0	141	13	1	1
chr11	3270415	3270435	0	152	2	1	1
chr11	3270736	3270769	14	65	75	5	1
chr11	3271103	3271114	0	147	7	1	1
chr11	3271602	3271617	1	123	30	2	1
chr11	3272729	3272776	9	0	145	2	0
chr11	3276160	3276171	0	72	82	1	1
chr11	3277614	3277645	2	134	18	2	1
chr11	3278367	3278382	0	150	4	1	1
chr11	3279616	3279627	0	147	7	1	1
