chrom	pos	end	het	hom	nocall	n_unq_gt_w_het	n_unq_gt_wo_het
chr7	3002966	3002997	11	61	82	2	1
chr7	3003030	3003061	2	88	64	3	1
chr7	3003086	3003109	0	98	56	1	1
chr7	3004508	3004519	0	56	98	1	1
chr7	3005629	3005640	0	85	69	1	1
chr7	3006246	3006289	4	21	129	3	1
chr7	3006353	3006364	0	135	19	1	1
chr7	3011116	3011159	2	22	130	2	1
chr7	3016828	3016845	0	115	39	1	1
chr7	3020277	3020288	0	112	42	1	1
chr7	3024125	3024136	0	132	22	1	1
chr7	3027865	3027876	0	85	69	1	1
chr7	3038554	3038565	0	124	30	1	1
chr7	3039549	3039598	0	0	154	0	0
chr7	3051046	3051057	0	111	43	1	1
chr7	3062971	3062982	0	78	76	1	1
chr7	3065082	3065111	4	1	149	2	1
chr7	3067301	3067348	3	9	142	4	1
chr7	3071633	3071680	0	129	25	2	2
chr7	3072598	3072609	0	45	109	1	1
chr7	3073730	3073741	0	106	48	1	1
chr7	3081051	3081062	0	135	19	1	1
chr7	3081945	3081996	1	16	137	3	2
chr7	3082064	3082107	2	25	127	4	2
chr7	3083946	3083989	52	21	81	8	2
chr7	3084559	3084574	1	103	50	2	1
chr7	3092815	3092832	0	41	113	1	1
chr7	3096072	3096083	0	148	6	1	1
chr7	3097923	3097934	0	142	12	1	1
chr7	3098679	3098690	0	122	32	1	1
chr7	3100112	3100123	0	85	69	1	1
chr7	3101202	3101213	0	145	9	1	1
chr7	3102169	3102216	6	17	131	7	2
chr7	3104324	3104335	0	134	20	1	1
chr7	3104905	3104918	1	91	62	2	1
chr7	3105168	3105187	0	136	18	1	1
chr7	3105188	3105202	0	138	16	1	1
chr7	3105598	3105609	0	142	12	1	1
chr7	3124231	3124245	0	96	58	1	1
chr7	3134698	3134709	0	110	44	1	1
chr7	3135108	3135119	0	83	71	1	1
chr7	3135226	3135240	0	127	27	1	1
chr7	3137149	3137160	0	86	68	1	1
chr7	3147477	3147524	5	46	103	3	2
chr7	3147621	3147636	0	37	117	1	1
chr7	3149736	3149747	0	119	35	1	1
chr7	3151483	3151494	0	136	18	1	1
chr7	3155787	3155804	13	45	96	3	1
chr7	3155804	3155853	2	0	152	2	0
chr7	3155916	3155930	0	108	46	1	1
chr7	3156776	3156787	0	35	119	1	1
chr7	3157420	3157431	0	121	33	1	1
chr7	3159722	3159741	4	86	64	3	2
chr7	3160536	3160551	0	86	68	1	1
chr7	3160706	3160721	0	83	71	1	1
chr7	3160727	3160738	0	83	71	1	1
chr7	3161913	3161930	0	89	65	1	1
chr7	3163082	3163101	0	133	21	1	1
chr7	3163531	3163625	2	0	152	2	0
chr7	3165026	3165045	7	14	133	4	1
chr7	3165728	3165739	0	122	32	1	1
chr7	3168201	3168212	0	96	58	1	1
chr7	3168470	3168481	0	126	28	1	1
chr7	3168815	3168826	0	113	41	1	1
chr7	3170911	3170922	0	69	85	1	1
chr7	3171692	3171703	1	101	52	2	1
chr7	3172217	3172228	0	107	47	1	1
chr7	3172544	3172579	6	64	84	5	3
chr7	3173642	3173653	0	41	113	1	1
chr7	3174075	3174089	0	66	88	1	1
chr7	3174368	3174379	0	117	37	1	1
chr7	3175607	3175638	6	103	45	4	2
chr7	3175842	3175853	0	110	44	1	1
chr7	3178451	3178502	3	3	148	4	1
chr7	3179912	3179935	0	109	45	1	1
chr7	3180063	3180082	4	122	28	4	2
chr7	3182367	3182394	4	93	57	3	2
chr7	3184265	3184288	0	61	93	1	1
chr7	3186432	3186446	0	0	154	0	0
chr7	3186558	3186593	0	0	154	0	0
chr7	3186668	3186679	0	37	117	1	1
chr7	3187622	3187633	0	64	90	1	1
chr7	3188023	3188038	3	59	92	3	2
