chrom	pos	end	het	hom	nocall	n_unq_gt_w_het	n_unq_gt_wo_het
chr15	3051322	3051333	0	150	4	1	1
chr15	3055410	3055421	0	136	18	1	1
chr15	3056577	3056592	78	19	57	2	1
chr15	3060031	3060042	1	120	33	2	1
chr15	3061144	3061157	0	99	55	1	1
chr15	3061762	3061799	9	50	95	6	2
chr15	3061863	3061874	0	137	17	1	1
chr15	3065976	3066031	7	76	71	4	2
chr15	3066551	3066606	7	35	112	5	2
chr15	3067604	3067655	6	57	91	5	3
chr15	3071845	3071862	0	131	23	1	1
chr15	3075275	3075286	0	124	30	1	1
chr15	3079099	3079110	0	137	17	1	1
chr15	3079126	3079137	0	141	13	1	1
chr15	3082839	3082850	0	132	22	1	1
chr15	3083897	3083911	0	131	23	1	1
chr15	3089299	3089312	0	91	63	1	1
chr15	3093538	3093549	0	148	6	1	1
chr15	3094533	3094582	3	15	136	4	1
chr15	3094637	3094672	1	34	119	2	1
chr15	3094767	3094784	5	42	107	3	1
chr15	3094808	3094863	0	2	152	1	1
chr15	3099865	3099912	0	53	101	1	1
chr15	3106750	3106769	1	66	87	2	1
chr15	3108944	3108959	1	120	33	2	1
chr15	3120306	3120317	0	142	12	1	1
chr15	3132286	3132329	8	29	117	7	2
chr15	3134371	3134422	0	0	154	0	0
chr15	3136624	3136657	7	65	82	6	2
chr15	3140628	3140639	0	123	31	1	1
chr15	3144522	3144536	0	144	10	1	1
chr15	3146274	3146285	0	132	22	1	1
chr15	3146707	3146718	1	118	35	2	1
chr15	3147651	3147662	0	144	10	1	1
chr15	3148146	3148169	0	151	3	1	1
chr15	3148942	3148957	0	132	22	1	1
chr15	3150714	3150763	15	22	117	8	2
chr15	3150763	3150802	3	28	123	3	1
chr15	3157458	3157499	6	2	146	6	2
chr15	3170333	3170346	0	139	15	1	1
chr15	3171639	3171662	1	149	4	2	1
chr15	3172236	3172281	14	6	134	11	1
chr15	3172289	3172304	5	127	22	5	1
chr15	3173156	3173167	0	102	52	1	1
chr15	3174017	3174060	2	143	9	3	2
chr15	3174767	3174780	0	48	106	1	1
chr15	3175137	3175156	0	120	34	1	1
chr15	3175416	3175427	0	145	9	1	1
chr15	3177998	3178012	0	135	19	1	1
chr15	3178255	3178299	5	51	98	8	4
chr15	3178527	3178588	0	4	150	2	2
chr15	3178588	3178635	8	28	118	4	1
chr15	3179150	3179164	0	154	0	1	1
chr15	3180748	3180783	2	81	71	3	2
chr15	3181230	3181245	0	133	21	1	1
chr15	3182058	3182069	0	138	16	1	1
chr15	3182503	3182514	1	114	39	2	1
chr15	3185873	3185884	0	142	12	1	1
chr15	3187947	3187960	0	81	73	1	1
chr15	3188627	3188638	0	128	26	1	1
chr15	3194608	3194619	0	121	33	1	1
chr15	3195569	3195583	0	113	41	1	1
chr15	3197654	3197678	0	139	15	1	1
chr15	3201145	3201156	0	154	0	1	1
chr15	3203968	3203979	0	151	3	1	1
