chrom	pos	end	het	hom	nocall	n_unq_gt_w_het	n_unq_gt_wo_het
chr13	3004333	3004344	0	130	24	1	1
chr13	3004568	3004582	1	140	13	2	1
chr13	3015361	3015372	0	134	20	1	1
chr13	3015387	3015404	0	124	30	1	1
chr13	3015680	3015703	2	135	17	2	1
chr13	3018015	3018038	4	101	49	2	1
chr13	3019010	3019024	0	131	23	1	1
chr13	3019870	3019909	7	55	92	4	1
chr13	3019973	3019984	0	153	1	1	1
chr13	3030568	3030611	2	134	18	3	1
chr13	3031124	3031155	0	95	59	1	1
chr13	3034917	3034932	0	113	41	1	1
chr13	3037386	3037403	68	0	86	9	0
chr13	3040247	3040286	0	140	14	1	1
chr13	3040711	3040734	0	139	15	1	1
chr13	3048893	3048904	0	149	5	1	1
chr13	3050895	3050924	7	70	77	4	1
chr13	3053339	3053350	0	152	2	1	1
chr13	3057369	3057400	0	150	4	1	1
chr13	3058074	3058113	0	6	148	1	1
chr13	3058236	3058250	10	0	144	8	0
chr13	3058433	3058447	0	0	154	0	0
chr13	3058447	3058461	0	0	154	0	0
chr13	3065716	3065727	0	92	62	1	1
chr13	3075896	3075909	0	50	104	1	1
chr13	3078537	3078556	0	21	133	1	1
chr13	3083262	3083275	0	149	5	1	1
chr13	3085594	3085605	0	147	7	1	1
chr13	3091541	3091560	0	142	12	1	1
chr13	3092697	3092760	0	0	154	0	0
chr13	3094939	3094980	47	25	82	6	1
chr13	3098960	3098971	0	142	12	1	1
chr13	3102174	3102189	0	130	24	1	1
chr13	3104038	3104061	0	113	41	1	1
chr13	3107182	3107193	0	133	21	1	1
chr13	3107624	3107639	27	98	29	2	1
chr13	3108376	3108395	0	152	2	1	1
chr13	3109281	3109296	0	125	29	1	1
chr13	3116811	3116822	0	32	122	1	1
chr13	3118958	3118975	2	135	17	3	1
chr13	3118975	3118990	11	111	32	5	1
chr13	3119488	3119501	0	135	19	1	1
chr13	3126508	3126529	1	98	55	2	1
chr13	3126793	3126812	0	147	7	1	1
chr13	3127279	3127314	3	85	66	5	3
chr13	3130323	3130334	0	153	1	1	1
chr13	3139088	3139105	0	144	10	1	1
chr13	3140372	3140383	0	128	26	1	1
chr13	3145478	3145492	0	138	16	1	1
chr13	3146200	3146220	0	111	43	1	1
chr13	3146592	3146603	0	135	19	1	1
chr13	3152050	3152067	0	154	0	1	1
chr13	3153147	3153158	0	144	10	1	1
chr13	3157982	3157993	0	143	11	1	1
chr13	3164143	3164180	9	34	111	6	1
chr13	3170494	3170511	0	116	38	1	1
chr13	3171164	3171181	3	109	42	3	1
chr13	3172277	3172326	0	104	50	3	3
chr13	3182062	3182073	0	137	17	1	1
chr13	3182079	3182092	0	123	31	1	1
chr13	3182595	3182609	0	145	9	1	1
chr13	3182618	3182633	0	149	5	1	1
chr13	3190211	3190226	0	145	9	1	1
chr13	3191896	3191913	1	143	10	2	1
chr13	3192117	3192132	0	152	2	1	1
chr13	3192292	3192335	6	32	116	5	2
chr13	3193659	3193670	0	153	1	1	1
chr13	3199962	3199973	0	139	15	1	1
chr13	3211809	3211828	0	147	7	1	1
chr13	3215218	3215239	2	126	26	3	1
chr13	3219008	3219019	0	150	4	1	1
chr13	3220022	3220053	1	136	17	2	1
chr13	3220604	3220615	0	142	12	1	1
chr13	3222292	3222307	1	132	21	2	1
chr13	3223439	3223450	0	83	71	1	1
chr13	3223468	3223482	0	112	42	1	1
chr13	3224053	3224082	0	148	6	1	1
chr13	3225319	3225330	0	97	57	1	1
chr13	3228757	3228770	2	116	36	2	1
chr13	3230643	3230654	0	151	3	1	1
chr13	3233400	3233414	0	102	52	1	1
chr13	3239624	3239635	2	97	55	2	1
chr13	3239666	3239731	0	0	154	0	0
chr13	3242182	3242193	0	108	46	1	1
chr13	3242375	3242386	0	142	12	1	1
chr13	3248738	3248752	0	105	49	1	1
chr13	3250625	3250679	1	141	12	2	1
chr13	3251892	3251903	0	145	9	1	1
chr13	3253294	3253305	0	141	13	1	1
chr13	3253831	3253880	21	19	114	5	1
chr13	3253880	3253929	22	36	96	6	1
chr13	3255486	3255513	2	78	74	2	1
chr13	3256419	3256454	0	144	10	3	3
chr13	3260609	3260620	0	153	1	1	1
chr13	3261049	3261068	0	51	103	1	1
chr13	3261129	3261194	29	52	73	8	1
chr13	3261274	3261345	30	6	118	8	2
chr13	3267499	3267536	1	1	152	2	1
chr13	3268955	3268969	0	141	13	1	1
chr13	3272889	3272927	3	58	93	2	1
chr13	3273652	3273663	0	146	8	1	1
chr13	3273727	3273744	0	153	1	1	1
chr13	3273931	3273942	0	154	0	1	1
chr13	3274187	3274222	5	79	70	4	1
chr13	3274756	3274767	3	107	44	2	1
chr13	3278203	3278223	0	153	1	1	1
chr13	3278234	3278251	0	153	1	1	1
chr13	3280476	3280487	0	149	5	1	1
chr13	3281760	3281834	9	2	143	6	1
chr13	3281905	3281934	1	128	25	2	1
chr13	3286604	3286619	0	99	55	1	1
chr13	3286775	3286794	0	141	13	1	1
chr13	3289053	3289082	6	72	76	3	1
chr13	3289559	3289570	1	141	12	2	1
chr13	3290299	3290326	5	78	71	3	1
chr13	3299776	3299825	0	19	135	1	1
chr13	3300389	3300400	0	150	4	1	1
chr13	3301036	3301067	10	55	89	3	1
chr13	3301885	3301922	6	58	90	4	1
chr13	3305810	3305854	1	129	24	3	2
chr13	3308341	3308360	0	147	7	1	1
chr13	3309043	3309057	0	153	1	1	1
chr13	3309487	3309504	1	141	12	2	1
chr13	3315974	3315985	0	151	3	1	1
chr13	3317511	3317594	0	0	154	0	0
chr13	3322391	3322430	6	43	105	3	1
chr13	3322809	3322820	0	148	6	1	1
chr13	3323613	3323624	0	130	24	1	1
chr13	3328460	3328473	0	145	9	1	1
chr13	3331132	3331143	1	150	3	2	1
chr13	3335123	3335134	1	64	89	2	1
chr13	3335379	3335398	0	117	37	1	1
chr13	3338588	3338601	3	88	63	3	1
chr13	3339127	3339138	0	149	5	1	1
chr13	3340272	3340283	0	152	2	1	1
chr13	3348042	3348059	0	126	28	1	1
chr13	3358544	3358555	0	151	3	1	1
chr13	3359417	3359443	1	143	10	2	1
chr13	3362720	3362739	0	143	11	1	1
chr13	3363167	3363182	0	147	7	1	1
chr13	3365202	3365213	0	143	11	1	1
chr13	3365962	3366006	2	102	50	2	1
chr13	3376636	3376647	0	140	14	1	1
chr13	3379092	3379106	0	120	34	1	1
chr13	3383677	3383688	0	152	2	1	1
chr13	3389956	3389967	0	147	7	1	1
chr13	3398709	3398732	1	134	19	2	1
chr13	3407186	3407200	0	147	7	1	1
chr13	3407201	3407225	0	150	4	1	1
chr13	3411557	3411571	0	147	7	1	1
