chrom	pos	end	het	hom	nocall	n_unq_gt_w_het	n_unq_gt_wo_het
chr12	3010782	3010793	1	146	7	2	1
chr12	3022415	3022458	2	2	150	3	1
chr12	3030262	3030307	9	19	126	3	1
chr12	3037884	3037958	47	27	80	5	1
chr12	3038516	3038527	0	146	8	1	1
chr12	3038957	3038968	0	130	24	1	1
chr12	3040355	3040366	0	134	20	1	1
chr12	3041124	3041141	0	125	29	1	1
chr12	3043654	3043665	0	151	3	1	1
chr12	3047295	3047308	0	126	28	1	1
chr12	3047567	3047631	3	135	16	3	2
chr12	3047991	3048036	7	30	117	6	1
chr12	3050587	3050608	3	134	17	4	1
chr12	3057852	3057863	0	118	36	1	1
chr12	3069168	3069179	0	144	10	1	1
chr12	3077357	3077381	0	104	50	1	1
chr12	3078090	3078104	0	126	28	1	1
chr12	3089118	3089133	0	147	7	1	1
chr12	3092664	3092675	0	127	27	1	1
chr12	3097315	3097350	7	65	82	3	1
chr12	3101215	3101226	0	140	14	1	1
chr12	3101507	3101518	0	147	7	1	1
chr12	3102504	3102527	0	134	20	1	1
chr12	3102635	3102646	0	140	14	1	1
chr12	3113415	3113426	0	141	13	1	1
chr12	3117212	3117237	3	93	58	3	1
chr12	3122802	3122845	9	23	122	4	1
chr12	3125342	3125353	0	91	63	1	1
chr12	3125533	3125544	0	135	19	1	1
chr12	3125964	3125975	0	153	1	1	1
chr12	3130410	3130421	0	121	33	1	1
chr12	3131900	3131919	0	97	57	1	1
chr12	3136787	3136871	2	0	152	1	0
chr12	3137570	3137581	0	135	19	1	1
chr12	3138358	3138373	0	154	0	1	1
chr12	3138583	3138614	5	82	67	3	1
chr12	3139706	3139721	0	150	4	1	1
chr12	3139936	3139987	8	9	137	3	1
chr12	3142111	3142122	0	120	34	1	1
chr12	3146346	3146361	0	127	27	1	1
chr12	3146655	3146666	0	110	44	1	1
chr12	3149018	3149032	0	66	88	1	1
chr12	3155579	3155590	0	125	29	1	1
chr12	3155654	3155665	0	151	3	1	1
chr12	3155837	3155848	0	154	0	1	1
chr12	3156093	3156128	6	67	81	4	1
chr12	3157639	3157656	0	140	14	1	1
chr12	3161790	3161801	0	153	1	1	1
chr12	3163455	3163466	0	111	43	1	1
chr12	3165346	3165359	2	135	17	2	1
chr12	3166918	3166933	1	131	22	2	1
chr12	3167215	3167226	1	147	6	2	1
chr12	3167232	3167246	0	149	5	1	1
chr12	3167335	3167354	4	107	43	3	1
chr12	3169296	3169311	0	115	39	1	1
chr12	3169690	3169733	4	4	146	6	2
chr12	3173121	3173135	0	151	3	1	1
chr12	3176802	3176841	9	35	110	4	1
chr12	3179325	3179372	4	9	141	3	1
chr12	3179377	3179391	0	147	7	1	1
chr12	3179397	3179408	0	148	6	1	1
chr12	3179562	3179573	1	149	4	2	1
chr12	3182037	3182050	0	125	29	1	1
chr12	3182176	3182187	0	142	12	1	1
chr12	3183636	3183667	1	0	153	1	0
chr12	3186967	3186978	0	132	22	1	1
chr12	3187720	3187731	0	114	40	1	1
chr12	3188940	3188960	1	149	4	2	1
chr12	3189659	3189703	0	107	47	1	1
chr12	3190169	3190204	1	145	8	3	2
chr12	3190860	3190871	0	92	62	1	1
chr12	3194605	3194619	0	153	1	1	1
chr12	3198896	3198939	9	30	115	4	1
chr12	3200910	3200921	0	136	18	1	1
chr12	3206177	3206191	0	152	2	1	1
chr12	3213455	3213466	0	151	3	1	1
chr12	3216320	3216335	1	142	11	2	1
chr12	3218019	3218068	1	6	147	2	1
chr12	3220582	3220605	0	44	110	1	1
chr12	3221576	3221587	0	144	10	1	1
chr12	3222622	3222649	9	83	62	3	1
chr12	3222666	3222701	4	143	7	2	1
chr12	3226151	3226162	0	153	1	1	1
chr12	3228616	3228631	0	151	3	1	1
chr12	3228629	3228640	0	150	4	1	1
chr12	3240327	3240342	0	152	2	1	1
chr12	3240587	3240598	0	154	0	1	1
chr12	3241320	3241331	0	153	1	1	1
chr12	3241632	3241643	0	153	1	1	1
chr12	3242433	3242444	0	142	12	1	1
chr12	3245572	3245583	0	142	12	1	1
chr12	3249593	3249608	0	129	25	1	1
chr12	3251122	3251133	0	113	41	1	1
chr12	3253955	3253966	0	150	4	2	2
chr12	3256477	3256488	0	145	9	1	1
chr12	3257414	3257429	0	143	11	1	1
chr12	3257430	3257444	0	131	23	1	1
chr12	3259384	3259395	0	151	3	1	1
chr12	3259991	3260002	0	152	2	1	1
chr12	3261798	3261837	8	64	82	4	2
chr12	3262193	3262208	0	153	1	1	1
chr12	3264931	3264970	0	143	11	1	1
chr12	3266102	3266117	0	141	13	1	1
chr12	3269730	3269741	0	113	41	1	1
chr12	3269801	3269816	0	130	24	1	1
chr12	3270511	3270522	0	148	6	1	1
chr12	3272934	3272945	0	149	5	1	1
chr12	3274984	3274999	0	151	3	1	1
chr12	3276057	3276070	0	121	33	1	1
chr12	3277457	3277468	0	127	27	1	1
chr12	3278778	3278797	1	151	2	2	1
chr12	3280079	3280104	3	115	36	3	1
chr12	3280105	3280128	1	142	11	2	1
chr12	3280627	3280640	9	106	39	4	1
chr12	3280656	3280667	11	125	18	3	1
chr12	3281477	3281488	0	148	6	1	1
chr12	3284155	3284166	0	137	17	1	1
chr12	3284706	3284732	0	150	4	1	1
chr12	3288391	3288404	2	131	21	2	1
chr12	3289911	3289926	3	110	41	3	1
chr12	3290804	3290815	0	73	81	1	1
chr12	3293644	3293655	0	145	9	1	1
chr12	3294499	3294526	1	133	20	2	1
chr12	3297073	3297084	0	143	11	1	1
chr12	3297776	3297787	0	72	82	1	1
chr12	3299073	3299087	0	133	21	1	1
chr12	3299400	3299423	0	129	25	1	1
chr12	3301925	3301948	0	54	100	1	1
chr12	3304001	3304024	0	153	1	1	1
chr12	3304719	3304730	0	125	29	1	1
chr12	3305115	3305136	4	102	48	3	1
chr12	3310188	3310199	0	132	22	1	1
chr12	3310302	3310321	2	91	61	3	1
chr12	3313554	3313568	0	26	128	1	1
chr12	3314478	3314489	0	130	24	1	1
chr12	3314749	3314762	1	132	21	2	1
chr12	3315837	3315848	0	103	51	1	1
chr12	3316642	3316689	2	8	144	3	1
chr12	3317809	3317828	2	97	55	3	1
chr12	3323997	3324008	7	86	61	4	1
chr12	3324008	3324021	10	91	53	4	1
chr12	3324025	3324038	3	108	43	3	1
chr12	3326260	3326271	0	116	38	1	1
chr12	3326337	3326348	0	84	70	1	1
chr12	3327635	3327690	9	49	96	6	2
chr12	3329605	3329624	2	118	34	2	1
chr12	3338371	3338382	0	144	10	1	1
chr12	3338543	3338563	9	82	63	3	1
chr12	3339227	3339260	5	40	109	4	1
chr12	3339793	3339804	0	126	28	1	1
chr12	3342401	3342445	0	28	126	2	2
chr12	3342512	3342523	0	140	14	1	1
chr12	3343313	3343326	0	115	39	1	1
chr12	3345820	3345835	0	119	35	1	1
chr12	3345923	3345974	4	50	100	2	1
chr12	3346932	3346947	0	152	2	1	1
chr12	3346960	3346971	0	150	4	1	1
chr12	3348116	3348127	0	125	29	1	1
chr12	3348610	3348624	1	142	11	2	1
chr12	3349427	3349490	0	0	154	0	0
chr12	3349866	3349881	0	106	48	1	1
chr12	3352761	3352772	0	125	29	1	1
chr12	3353660	3353709	1	144	9	3	2
chr12	3354362	3354417	12	94	48	7	3
chr12	3356454	3356465	1	9	144	2	1
chr12	3356640	3356651	0	15	139	1	1
chr12	3358325	3358356	0	74	80	1	1
chr12	3359980	3359995	0	122	32	1	1
chr12	3362441	3362452	0	137	17	1	1
chr12	3363866	3363881	0	127	27	1	1
chr12	3368432	3368449	0	0	154	0	0
chr12	3369923	3369960	9	32	113	4	1
chr12	3372831	3372845	0	124	30	1	1
chr12	3373052	3373087	6	96	52	4	1
chr12	3376630	3376641	0	114	40	1	1
chr12	3376772	3376783	0	142	12	1	1
chr12	3377074	3377099	3	104	47	3	1
chr12	3378209	3378220	0	114	40	1	1
chr12	3378889	3378904	0	100	54	1	1
chr12	3379298	3379313	0	138	16	1	1
chr12	3380641	3380688	4	3	147	4	1
chr12	3383053	3383104	1	32	121	3	2
chr12	3383258	3383269	0	104	50	1	1
chr12	3386697	3386710	1	152	1	2	1
chr12	3386793	3386807	0	153	1	1	1
chr12	3389293	3389308	0	73	81	1	1
chr12	3389393	3389410	2	85	67	2	1
chr12	3389893	3389924	0	103	51	1	1
chr12	3390389	3390412	0	115	39	1	1
chr12	3391451	3391465	0	137	17	1	1
chr12	3395267	3395278	0	141	13	1	1
chr12	3395612	3395669	1	2	151	2	1
chr12	3398890	3398901	0	132	22	1	1
chr12	3400504	3400517	0	134	20	1	1
chr12	3400567	3400578	0	146	8	1	1
chr12	3406321	3406344	0	143	11	1	1
chr12	3408168	3408183	0	119	35	1	1
chr12	3409631	3409660	0	134	20	1	1
chr12	3409815	3409838	0	148	6	1	1
chr12	3410958	3411003	7	19	128	4	1
chr12	3412155	3412168	3	66	85	3	1
chr12	3412716	3412727	0	153	1	1	1
chr12	3413277	3413292	1	125	28	2	1
chr12	3414169	3414180	0	142	12	1	1
chr12	3415088	3415099	0	128	26	1	1
chr12	3421658	3421669	0	152	2	1	1
chr12	3422321	3422340	0	144	10	1	1
chr12	3423045	3423056	0	150	4	1	1
chr12	3424094	3424105	0	153	1	1	1
chr12	3424922	3424936	0	130	24	1	1
chr12	3427943	3428007	3	20	131	3	2
chr12	3428481	3428492	0	114	40	1	1
chr12	3429026	3429041	0	139	15	1	1
chr12	3429452	3429463	0	130	24	1	1
chr12	3430938	3430965	1	102	51	3	2
chr12	3434104	3434115	0	146	8	1	1
chr12	3434879	3434890	0	106	48	1	1
chr12	3435080	3435091	0	131	23	1	1
chr12	3438855	3438870	0	144	10	1	1
chr12	3439439	3439454	1	77	76	2	1
chr12	3440161	3440172	0	148	6	1	1
chr12	3440709	3440723	0	108	46	1	1
chr12	3444890	3444904	0	140	14	1	1
chr12	3447283	3447294	0	147	7	1	1
chr12	3449065	3449076	0	131	23	1	1
chr12	3449260	3449274	1	107	46	2	1
chr12	3449340	3449351	0	126	28	1	1
chr12	3450738	3450762	0	138	16	1	1
chr12	3450788	3450799	0	149	5	1	1
chr12	3451295	3451306	0	123	31	1	1
chr12	3452401	3452444	3	107	44	3	1
chr12	3454774	3454785	0	139	15	1	1
chr12	3455959	3455973	0	122	32	1	1
chr12	3456219	3456234	0	145	9	1	1
chr12	3457148	3457159	0	140	14	1	1
chr12	3457588	3457599	0	141	13	1	1
chr12	3457965	3457976	0	0	154	0	0
chr12	3459883	3459894	0	152	2	1	1
chr12	3460151	3460170	1	129	24	2	1
chr12	3460638	3460655	0	143	11	1	1
chr12	3461735	3461749	0	152	2	1	1
chr12	3461815	3461850	13	85	56	6	2
chr12	3462010	3462024	0	143	11	1	1
chr12	3465566	3465577	0	118	36	1	1
chr12	3468769	3468784	0	91	63	1	1
chr12	3471217	3471256	0	56	98	1	1
chr12	3474255	3474278	0	144	10	1	1
chr12	3476260	3476277	0	110	44	1	1
chr12	3481186	3481231	7	13	134	6	2
chr12	3481461	3481506	10	55	89	8	3
chr12	3482446	3482457	0	142	12	1	1
